@relation cmc
@attribute 1 {16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}
@attribute 2 {1,2,3,4}
@attribute 3 {1,2,3,4}
@attribute 4 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,16}
@attribute 5 {0,1}
@attribute 6 {0,1}
@attribute 7 {1,2,3,4}
@attribute 8 {1,2,3,4}
@attribute 9 {0,1}
@attribute class {1,2,3}
@data
37,4,4,1,1,1,1,4,0,1
33,3,4,6,1,1,3,2,0,3
28,4,4,1,1,1,3,2,0,3
30,1,3,4,1,1,3,4,0,3
31,4,2,2,0,1,1,3,0,2
30,2,3,3,1,1,3,3,0,3
48,2,4,2,1,1,1,3,0,1
21,4,4,1,0,1,2,4,0,3
37,2,3,4,1,1,2,3,0,1
31,4,4,1,1,1,1,4,0,2
47,4,4,4,1,1,1,4,0,1
22,3,2,2,1,1,2,1,0,3
28,2,4,1,1,0,3,4,0,1
32,4,4,4,1,1,1,2,0,2
21,4,4,1,1,1,3,4,0,1
32,3,4,5,0,1,1,4,0,3
28,3,4,3,1,1,1,4,0,3
46,4,4,6,1,1,1,4,0,1
35,2,2,6,1,0,3,1,1,1
28,4,4,3,0,0,3,4,0,3
41,3,3,5,1,1,3,4,0,1
22,2,2,2,1,1,2,3,0,3
26,3,2,4,1,1,3,4,0,3
29,4,4,1,1,0,2,4,0,2
36,4,4,3,1,0,2,4,0,2
25,4,4,1,1,1,1,4,0,3
28,4,4,3,0,0,1,4,0,1
24,4,4,1,1,1,3,2,0,2
48,4,4,6,0,1,2,4,0,2
21,4,4,1,1,1,2,1,0,2
21,2,2,1,1,1,3,2,0,3
43,4,4,5,1,1,1,3,0,1
41,4,3,5,1,0,3,4,0,3
31,3,3,1,1,0,3,4,0,1
28,4,4,3,0,1,1,4,0,1
48,2,3,8,1,1,1,4,0,1
36,4,4,3,1,1,1,4,0,2
34,2,2,8,1,1,2,2,0,2
22,4,4,2,1,1,1,3,0,1
21,1,3,4,1,1,3,2,0,1
30,4,4,2,0,0,3,3,0,3
42,4,4,3,1,0,1,4,0,2
46,2,4,6,1,1,1,4,0,1
21,4,4,1,1,1,3,1,0,3
26,3,3,2,1,1,3,2,0,2
18,3,4,1,1,1,3,1,0,1
44,4,4,5,1,1,3,4,0,3
34,4,4,3,1,0,3,4,0,2
32,2,3,4,1,1,3,2,0,3
36,4,4,3,0,1,1,3,0,2
42,4,4,3,1,1,1,4,0,1
30,4,4,2,0,1,3,1,0,1
21,3,4,3,1,1,1,4,0,2
37,2,3,6,1,1,3,4,0,3
29,3,4,3,1,1,1,3,0,2
35,4,4,3,1,1,2,3,0,2
47,4,4,4,1,0,1,4,0,2
29,2,4,2,1,0,4,4,1,1
34,3,4,4,1,1,3,3,0,2
23,3,3,2,1,1,3,3,0,1
22,3,3,2,1,1,3,3,0,2
28,2,2,1,1,1,3,2,0,1
38,3,3,2,0,1,3,4,0,3
32,3,4,4,1,1,3,2,0,3
41,2,4,1,1,1,2,3,0,1
32,4,4,3,0,1,1,4,0,3
37,2,3,9,1,1,3,3,0,3
23,4,4,2,1,1,3,4,0,3
24,3,4,4,1,1,3,1,0,3
28,2,1,2,1,0,3,3,0,2
28,4,4,1,1,0,1,3,0,1
26,3,2,5,1,1,2,2,0,3
48,3,4,11,1,1,1,4,0,1
33,4,4,5,1,1,3,4,0,1
18,3,2,1,1,1,3,1,0,1
24,4,4,2,1,1,2,4,0,2
30,4,4,3,0,0,2,4,0,3
28,4,4,2,1,1,1,3,0,2
31,4,4,3,1,1,1,4,0,3
34,4,4,5,1,1,3,4,0,2
35,4,4,4,1,1,1,4,0,3
36,4,4,2,1,1,2,4,0,2
41,4,4,1,1,1,3,3,0,3
23,4,4,1,1,1,1,2,0,2
27,2,4,1,1,1,3,3,0,3
28,3,4,3,1,1,1,4,0,2
31,3,3,6,0,1,3,1,0,3
36,4,4,3,1,1,3,3,0,2
23,4,4,2,1,1,1,4,0,1
28,3,3,3,1,1,1,2,0,2
25,3,4,1,1,1,2,1,0,1
33,4,4,3,1,1,1,4,0,3
25,3,4,3,1,1,2,4,0,3
17,4,4,1,1,1,2,4,0,2
25,4,4,2,1,1,2,4,0,3
30,2,2,4,1,1,2,1,0,3
28,2,3,2,1,1,3,3,0,2
22,2,4,1,1,1,3,3,0,3
22,3,4,2,1,1,2,3,0,1
32,4,4,3,1,1,1,4,0,3
24,4,4,2,1,0,1,3,0,2
44,3,4,6,1,1,3,2,0,2
37,2,2,8,1,1,2,3,0,1
34,1,3,4,1,0,3,4,0,1
24,4,4,1,1,1,2,4,0,2
48,4,4,3,1,1,2,4,0,1
23,2,2,2,1,1,3,3,0,1
