@relation tae
@attribute 1 {1,2}
@attribute 2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25}
@attribute 3 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}
@attribute 4 {1,2}
@attribute 5 {3,5,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,42,43,44,45,46,48,49,51,54,55,58,66}
@attribute class {1,2,3}
@data 
2,1,15,2,31,3
2,8,7,2,23,1
2,13,1,2,20,2
2,24,26,2,21,2
2,9,5,2,19,3
1,22,3,2,58,3
2,10,3,2,27,3
2,14,22,2,17,3
2,23,3,2,11,1
2,7,11,2,13,2
2,7,11,2,30,1
2,10,3,2,19,1
2,9,2,2,39,3
2,6,17,2,42,2
1,23,3,2,38,1
2,22,1,2,42,2
2,7,11,2,10,2
2,16,19,2,11,3
2,2,10,2,27,1
2,5,2,2,37,1
2,6,17,2,43,2
2,25,7,2,27,2
2,22,3,2,28,1
2,3,2,2,26,1
1,6,17,2,35,2
1,17,17,2,19,3
2,6,17,2,42,2
2,7,11,2,13,2
1,23,3,2,49,3
2,22,1,2,11,2
2,14,15,2,38,1
2,15,13,2,37,2
2,7,11,2,30,1
2,13,3,1,11,3
2,6,17,2,43,2
2,6,17,2,39,3
2,14,15,2,38,2
2,13,14,2,17,3
2,15,3,1,17,3
1,22,13,2,27,2
1,23,3,1,20,3
2,16,20,2,15,1
2,1,15,1,22,2
1,22,3,2,15,2
2,2,9,2,31,2
1,17,17,2,31,3
2,18,21,2,29,3
2,5,2,2,48,1
2,18,21,2,29,3
2,11,1,2,51,1
